"","model","size","PC1","PC1_counts","PC3","PC3_counts","denom","PC1Frac","PC3Frac"
"40","SAM","4","Neutral",1,"Neutral",2,74,0.0135135135135135,0.027027027027027
"41","GLM","8","Neutral",0,"Neutral",0,100,0,0
"42","ESM-L","8","Neutral",0,"Neutral",0,100,0,0
"43","ESM-P","8","Neutral",0,"Neutral",1,100,0,0.01
"44","HMSC","8","Neutral",8,"Neutral",0,99,0.0808080808080808,0
"45","SAM","8","Neutral",2,"Neutral",1,87,0.0229885057471264,0.0114942528735632
"46","GLM","16","Neutral",0,"Neutral",2,100,0,0.02
"47","ESM-L","16","Neutral",0,"Neutral",0,100,0,0
"48","ESM-P","16","Neutral",0,"Neutral",0,100,0,0
"49","HMSC","16","Neutral",2,"Neutral",0,99,0.0202020202020202,0
"50","SAM","16","Neutral",3,"Neutral",2,81,0.037037037037037,0.0246913580246914
"51","GLM","32","Neutral",0,"Neutral",2,100,0,0.02
"52","ESM-L","32","Neutral",0,"Neutral",0,100,0,0
"53","ESM-P","32","Neutral",0,"Neutral",0,100,0,0
"54","HMSC","32","Neutral",0,"Neutral",1,96,0,0.0104166666666667
"55","SAM","32","Neutral",2,"Neutral",2,82,0.024390243902439,0.024390243902439
"56","GLM","64","Neutral",0,"Neutral",3,100,0,0.03
"57","ESM-L","64","Neutral",0,"Neutral",0,100,0,0
"58","ESM-P","64","Neutral",0,"Neutral",0,100,0,0
"59","HMSC","64","Neutral",0,"Neutral",2,98,0,0.0204081632653061
"60","SAM","64","Neutral",3,"Neutral",1,83,0.036144578313253,0.0120481927710843
"61","GLM","2","Positive",0,"Positive",0,0,0,0
"62","ESM-L","2","Positive",0,"Positive",100,100,0,1
"63","ESM-P","2","Positive",0,"Positive",0,0,0,0
"64","HMSC","2","Positive",50,"Positive",94,94,0.531914893617021,1
"65","SAM","2","Positive",51,"Positive",66,81,0.62962962962963,0.814814814814815
"66","GLM","4","Positive",0,"Positive",0,0,0,0
"67","ESM-L","4","Positive",2,"Positive",100,100,0.02,1
"68","ESM-P","4","Positive",0,"Positive",0,0,0,0
"69","HMSC","4","Positive",48,"Positive",99,99,0.484848484848485,1
"70","SAM","4","Positive",33,"Positive",68,74,0.445945945945946,0.918918918918919
"71","GLM","8","Positive",99,"Positive",81,100,0.99,0.81
"72","ESM-L","8","Positive",0,"Positive",100,100,0,1
"73","ESM-P","8","Positive",100,"Positive",99,100,1,0.99
"74","HMSC","8","Positive",75,"Positive",99,99,0.757575757575758,1
"75","SAM","8","Positive",22,"Positive",77,87,0.252873563218391,0.885057471264368
"76","GLM","16","Positive",100,"Positive",87,100,1,0.87
"77","ESM-L","16","Positive",0,"Positive",100,100,0,1
"78","ESM-P","16","Positive",100,"Positive",100,100,1,1
"79","HMSC","16","Positive",96,"Positive",99,99,0.96969696969697,1
"80","SAM","16","Positive",27,"Positive",76,81,0.333333333333333,0.938271604938272
"81","GLM","32","Positive",100,"Positive",88,100,1,0.88
"82","ESM-L","32","Positive",0,"Positive",100,100,0,1
"83","ESM-P","32","Positive",100,"Positive",100,100,1,1
"84","HMSC","32","Positive",95,"Positive",95,96,0.989583333333333,0.989583333333333
"85","SAM","32","Positive",53,"Positive",69,82,0.646341463414634,0.841463414634146
"86","GLM","64","Positive",100,"Positive",88,100,1,0.88
"87","ESM-L","64","Positive",0,"Positive",100,100,0,1
"88","ESM-P","64","Positive",100,"Positive",100,100,1,1
"89","HMSC","64","Positive",98,"Positive",96,98,1,0.979591836734694
"90","SAM","64","Positive",61,"Positive",71,83,0.734939759036145,0.855421686746988
